1216
a big cheese	(slang) เป็นสำนวนแปลว่า คนที่สำคัญมาก
ubuntu	"ubuntu" เป็นภาษาเก่าแก่ของชาวแอฟริกัน โดยมีความหมายถึง "humanity to others" หรือแปลเป็นไทยคือ "ความกรุณาต่อผู้อื่น"โดย "ubuntu" ยังมีอีกความหมายหนึ่งว่า "I am what I am because of who we all are" หรือแปลเป็นไทยคือ "ฉันเป็นฉันได้ก็เพราะพวกเราเป็นอย่างนั้น"
Ultra Sonic Motor	(n) มอเตอร์ที่หมุนโดยอาศัยหลักคลื่นเสียงความถี่สูง Ultra-Sound ซึ่งสามารถออกแบบให้มีขนาดเล็ก พัฒนาโดยบริษัท Canon เพื่อให้หมุนปรับโฟกัสในเลนส์รุ่นที่มีอักษร USM, Related: USM, SWF 
umpteenth	(adj) จำนวนมาก (แต่ไม่ได้บอกตัวเลขเจาะจง)เช่น AsiaNews interviewed the wife of one of them: the story of the umpteenth victim of this unjust law features years of threats by Islamic fundamentalists.; I woke up around 4am for an umpteenth potty trip and then couldn't get back to sleep. So I ended up getting up around 5:30 and eating a piece of cake. 
unadulterated	(adj) ไม่มีสิ่งเจือปน บริสุทธิ์ เช่น These are unadulterated facts. ; Unadulterated maternal adoration
unbeatable	(adj) ไม่มีทางแพ้, หาใครเทียบไม่ได้ เช่น You can get a quote right now for your van by soliciting our services and we will provide you with unbeatable van insurance immediately or your money back. , Related: S. invincible, 
underdog	(n) ไก่รองบ่อน เช่น We’re a bit of an underdog, as there are much larger hosted blogging services such as Blogger or Typepad that have been out for years.
understeer	(vi) ดื้อโค้ง (พวงมาลัยรถ)
understeering	(n) อาการดื้อโค้ง (ของพวงมาลัยรถ)
underway	(adj) กำลังดำเนินต่อไป เช่น A complete modernization of the main terminal is underway and is expected to takeabout six months to complete., Related: S. in motion , in progress 
UNEP	(abbrev) ย่อมาจาก United Nations Environment Programme หมายถึง องค์การควบคุมสิ่งแวดล้อมแห่งสหประชาชาติ
unidentified body	(n) ศพนิรนาม
united arab emirates	(n) สหรัฐอาหรับเอมิเรตส์
unrecoverable	(adj) ไม่สามารถกู้คืนได้, ไม่สามารถเอากลับคืนได้, ไม่สามารถรักษาได้, Related: S. irrecoverable, R. recover 
unrepentant	(adj) ไม่รู้สึกว่าได้กระทำอะไรผิดไป, ไม่รู้สึกผิด
unruliness	(n) การที่ไม่อยู่ในกฏระเบียบ, การที่ไม่สามารถควบคุมได้, ความดื้อรั้น  เช่น The year is 48 B.C. The grandeur of the Roman Empire has been tarnished by political corruption and society has been overrun by unruliness and violence. , Related: R. unruly, willful, 
unsharp mask	(name) คือกระบวนการทำภาพถ่ายให้คมชัดขึ้น โดยการนำฟิล์มของภาพ ไปถ่ายสำเนาใส่ฟิล์มอีกแผ่นหนึ่งโดยเจตนาให้ได้ภาพที่เบลอ (unsharp) กว่าเดิม ภาพบนฟิล์มที่ทำสำเนาขึ้นมาใหม่นี้ จะแตกต่างจากภาพบนฟิล์มเดิม ณ บริเวณภาพที่มีรายละเอียด (เนื่องจากถูกทำให้เบลอ) แต่จะเหมือนเดิม ณ บริเวณภาพที่เป็นสีพื้น (ไม่มีรายละเอียด การทำเบลอไม่มีผลต่อภาพ)จากนั้นจึงเอาฟิล์มทั้งสองมาทาบเข้าด้วยกัน ภาพที่ได้เมื่อมองผ่านฟิล์มทั้งสอง บริเวณที่มีรายละเอียดจะถูกเน้นให้เห็นรายละเอียดชัดเจนมากขึ้น คือ ทำให้ภาพดูคมชัดขึ้น
unsure	(adj) ไม่แน่ใจ
up-and-coming	(adj) มีแววรุ่ง มีท่าทางจะประสบความสำเร็จ
upstream steel	(n) เหล็กต้นน้ำ
urologist	(n) แพทย์ที่เชี่ยวชาญเกี่ยวกับระบบปัสสาวะ
urticaria	ลมพิษ, ผิวหนังอักเสบ
used to infinitive verb	เคย เช่น I used to go to lots of massive events like this but this was my first in about 6 years.แต่ used to + Verb-ing/noun หมายถึง คุ้นเคย, เคยชิน, คุ้นชิน เช่น I get used to going to sleep early and waking up early.; The king also asked consumers to get used to rising oil prices as there were very little chances of its going down.
